index,PERCLOSE,Excessive Blink,Yawn
0,0.051666666666666666,0,False
1,0.04,0,False
2,0.05466666666666667,0,False
3,0.08566666666666667,0,False
4,0.057,0,False
5,0.06833333333333333,0,False
0,0.045,0,False
1,0.009,0,False
2,0.03266666666666666,0,False
3,0.06233333333333333,2,False
4,0.11633333333333333,1,False
5,0.046,0,False
0,0.07666666666666666,0,False
1,0.14666666666666667,1,False
2,0.14166666666666666,0,False
3,0.14266666666666666,0,False
4,0.13433333333333333,0,False
5,0.12133333333333333,1,False
0,0.056666666666666664,0,False
1,0.11333333333333333,0,False
2,0.038,0,False
3,0.10266666666666667,0,False
4,0.091,0,False
5,0.12,0,False
0,0.169,0,False
1,0.225,0,False
2,0.146,0,False
3,0.104,0,True
4,0.127,0,False
5,0.132,0,True
0,0.13266666666666665,0,False
1,0.09066666666666667,0,False
2,0.13133333333333333,1,False
3,0.107,0,False
4,0.15766666666666668,0,True
5,0.25933333333333336,2,False
0,0.112,0,False
1,0.10266666666666667,0,False
2,0.12566666666666668,0,False
3,0.12566666666666668,0,False
4,0.192,0,False
5,0.128,0,True
0,0.14266666666666666,0,False
1,0.13,0,False
2,0.124,0,False
3,0.16133333333333333,0,False
4,0.101,0,True
5,0.09166666666666666,0,True
0,0.06933333333333333,1,False
1,0.017,0,False
2,0.07966666666666666,0,True
3,0.24,3,True
4,0.20433333333333334,2,True
5,0.193,0,True
0,0.09433333333333334,0,True
1,0.14966666666666667,1,True
2,0.10766666666666666,3,True
3,0.385,11,True
4,0.45566666666666666,32,True
5,0.177,1,True
