FatigueScore
7.0
7.0706
7.1412
7.2118
7.2824
7.3529
7.3529
7.4118
7.4706
7.5294
7.5882
7.6471
7.6471
7.6588
7.6706
7.6824
7.6941
7.7059
7.7059
7.7272
7.7485
7.7699
7.7912
7.8125
7.8125
7.8147
7.8169
7.8191
7.8213
7.8235
7.8235
7.8255
7.8275
7.8294
7.8314
7.8333
7.8333
7.8549
7.8765
7.898
7.9196
7.9412
7.9412
7.9882
8.0353
8.0824
8.1294
8.1765
8.1765
8.1412
8.1059
8.0706
8.0353
8.0
8.0
8.0824
8.1647
8.2471
8.3294
8.4118
3.8235
4.0471
4.2706
4.4941
4.7176
4.9412
4.9412
5.1765
5.4118
5.6471
5.8824
6.1176
6.1176
6.1191
6.1206
6.1221
6.1235
6.125
6.125
6.2176
6.3103
6.4029
6.4956
6.5882
6.5882
6.0941
5.6
5.1059
4.6118
4.1176
4.1176
4.8824
5.6471
6.4118
7.1765
7.9412
3.625
3.4765
3.3279
3.1794
3.0309
2.8824
2.8824
3.3765
3.8706
4.3647
4.8588
5.3529
5.3529
5.3529
5.3529
5.3529
5.3529
5.3529
5.3529
5.4118
5.4706
5.5294
5.5882
5.6471
1.5294
1.5294
1.5294
1.5294
1.5294
1.5294
1.5294
1.5294
1.5294
1.5294
1.5294
1.5294
1.8824
1.9412
2.0
2.0588
2.1176
2.1765
2.5294
2.5529
2.5765
2.6
2.6235
2.6471
2.6471
2.7176
2.7882
2.8588
2.9294
3.0
3.1176
3.1529
3.1882
3.2235
3.2588
3.2941
2.7647
2.8941
3.0235
3.1529
3.2824
3.4118
3.4706
3.5294
3.5882
3.6471
3.7059
3.7647
3.8235
3.8706
3.9176
3.9647
4.0118
4.0588
4.0588
4.2941
4.5294
4.7647
5.0
5.2353
