PERCLOSE,Excessive Blink,Yawn
0.252,5.0,0.0
0.2296666666666666,6.0,0.0
0.3416666666666667,10.0,0.0
0.21,4.0,0.0
0.2063333333333333,4.0,0.0
0.1456666666666666,1.0,0.0
0.0376666666666666,0.0,0.0
0.0466666666666666,0.0,0.0
0.043,0.0,0.0
0.046,0.0,0.0
0.0463333333333333,0.0,0.0
0.0486666666666666,0.0,0.0
0.0596666666666666,0.0,0.0
0.0476666666666666,0.0,0.0
0.0433333333333333,0.0,0.0
0.0836666666666666,1.0,0.0
0.1376666666666666,0.0,0.0
0.1553333333333333,2.0,0.0
0.045,0.0,0.0
0.0343333333333333,0.0,0.0
0.0503333333333333,0.0,0.0
0.0453333333333333,0.0,0.0
0.047,0.0,0.0
0.0666666666666666,0.0,0.0
0.0583333333333333,0.0,0.0
0.064,0.0,0.0
0.0713333333333333,0.0,0.0
0.0643333333333333,1.0,0.0
0.0636666666666666,0.0,0.0
0.059,0.0,0.0
0.0413333333333333,0.0,0.0
0.045,0.0,0.0
0.056,0.0,0.0
0.0696666666666666,1.0,0.0
0.072,0.0,0.0
0.066,0.0,0.0
0.059,0.0,0.0
0.046,0.0,0.0
0.039,0.0,0.0
0.0346666666666666,0.0,0.0
0.0273333333333333,0.0,0.0
0.0373333333333333,0.0,0.0
0.0296666666666666,0.0,0.0
0.039,0.0,0.0
0.0323333333333333,0.0,0.0
0.0373333333333333,0.0,0.0
0.0486666666666666,0.0,0.0
0.0603333333333333,0.0,0.0
0.0513333333333333,0.0,0.0
0.042,0.0,0.0
0.0366666666666666,0.0,0.0
0.0283333333333333,0.0,0.0
0.0846666666666666,1.0,0.0
0.048,0.0,0.0
0.0533333333333333,0.0,0.0
0.0476666666666666,0.0,0.0
0.0636666666666666,1.0,0.0
0.0593333333333333,0.0,0.0
0.0513333333333333,0.0,0.0
0.0656666666666666,0.0,0.0
0.046,0.0,0.0
0.018,0.0,0.0
0.0233333333333333,0.0,0.0
0.0476666666666666,0.0,0.0
0.0716666666666666,0.0,0.0
0.0066666666666666,0.0,0.0
0.0566666666666666,0.0,0.0
0.0253333333333333,0.0,0.0
0.031,0.0,0.0
0.1163333333333333,0.0,0.0
0.093,0.0,0.0
0.0806666666666666,1.0,0.0
0.0556666666666666,0.0,0.0
0.0146666666666666,0.0,0.0
0.0293333333333333,0.0,0.0
0.076,1.0,0.0
0.0673333333333333,0.0,1.0
0.0133333333333333,0.0,1.0
0.0866666666666666,0.0,0.0
0.0653333333333333,0.0,0.0
0.022,0.0,0.0
0.015,0.0,0.0
0.043,0.0,0.0
0.0073333333333333,0.0,0.0
0.0493333333333333,0.0,0.0
0.0796666666666666,0.0,0.0
0.1023333333333333,0.0,0.0
0.066,0.0,0.0
0.0993333333333333,0.0,0.0
0.0863333333333333,0.0,1.0
0.0746666666666666,0.0,0.0
0.039,0.0,0.0
0.0763333333333333,0.0,1.0
0.0823333333333333,0.0,1.0
0.0406666666666666,0.0,0.0
0.0283333333333333,0.0,0.0
0.0016666666666666,0.0,0.0
0.045,0.0,0.0
0.0776666666666666,0.0,0.0
0.0886666666666666,0.0,0.0
0.068,0.0,0.0
0.0133333333333333,0.0,0.0
0.092,0.0,0.0
0.1196666666666666,0.0,0.0
0.1013333333333333,0.0,0.0
0.0923333333333333,0.0,0.0
0.049,0.0,0.0
0.0926666666666666,0.0,0.0
0.019,0.0,0.0
0.006,0.0,0.0
0.0,0.0,0.0
0.006,0.0,0.0
0.03,0.0,0.0
0.0086666666666666,0.0,0.0
0.018,0.0,0.0
0.0886666666666666,0.0,0.0
0.0833333333333333,0.0,0.0
0.132,0.0,0.0
0.0723333333333333,0.0,0.0
0.127,0.0,0.0
0.0516666666666666,0.0,0.0
0.04,0.0,0.0
0.0546666666666666,0.0,0.0
0.0856666666666666,0.0,0.0
0.057,0.0,0.0
0.0683333333333333,0.0,0.0
0.045,0.0,0.0
0.009,0.0,0.0
0.0326666666666666,0.0,0.0
0.0623333333333333,2.0,0.0
0.1163333333333333,1.0,0.0
0.046,0.0,0.0
0.0766666666666666,0.0,0.0
0.1466666666666666,1.0,0.0
0.1416666666666666,0.0,0.0
0.1426666666666666,0.0,0.0
0.1343333333333333,0.0,0.0
0.1213333333333333,1.0,0.0
0.0566666666666666,0.0,0.0
0.1133333333333333,0.0,0.0
0.038,0.0,0.0
0.1026666666666666,0.0,0.0
0.091,0.0,0.0
0.12,0.0,0.0
0.169,0.0,0.0
0.225,0.0,0.0
0.146,0.0,0.0
0.104,0.0,1.0
0.127,0.0,0.0
0.132,0.0,1.0
0.1326666666666666,0.0,0.0
0.0906666666666666,0.0,0.0
0.1313333333333333,1.0,0.0
0.107,0.0,0.0
0.1576666666666666,0.0,1.0
0.2593333333333333,2.0,0.0
0.112,0.0,0.0
0.1026666666666666,0.0,0.0
0.1256666666666666,0.0,0.0
0.1256666666666666,0.0,0.0
0.192,0.0,0.0
0.128,0.0,1.0
0.1426666666666666,0.0,0.0
0.13,0.0,0.0
0.124,0.0,0.0
0.1613333333333333,0.0,0.0
0.101,0.0,1.0
0.0916666666666666,0.0,1.0
0.0693333333333333,1.0,0.0
0.017,0.0,0.0
0.0796666666666666,0.0,1.0
0.24,3.0,1.0
0.2043333333333333,2.0,1.0
0.193,0.0,1.0
0.0943333333333333,0.0,1.0
0.1496666666666666,1.0,1.0
0.1076666666666666,3.0,1.0
0.385,11.0,1.0
0.4556666666666666,32.0,1.0
0.177,1.0,1.0
